Month,Amount
Jan-90,16.50
Feb-90,15.17
Mar-90,12.75
Apr-90,12.31
May-90,8.34
Jun-90,8.63
Jul-90,12.37
Aug-90,11.53
Sep-90,9.47
Oct-90,9.57
Nov-90,14.44
Dec-90,24.50
Jan-91,19.94
Feb-91,13.99
Mar-91,12.50
Apr-91,9.32
May-91,7.63
Jun-91,7.44
Jul-91,9.86
Aug-91,8.92
Sep-91,7.38
Oct-91,8.17
Nov-91,15.65
Dec-91,20.07
Jan-92,16.98
Feb-92,13.45
Mar-92,12.15
Apr-92,12.29
May-92,7.42
Jun-92,6.83
Jul-92,10.96
Aug-92,9.09
Sep-92,8.51
Oct-92,8.49
Nov-92,14.83
Dec-92,21.15
Jan-93,15.21
Feb-93,14.75
Mar-93,11.81
Apr-93,14.11
May-93,7.42
Jun-93,9.61
Jul-93,9.76
Aug-93,8.78
Sep-93,6.63
Oct-93,8.88
Nov-93,14.92
Dec-93,21.17
Jan-94,19.74
Feb-94,15.47
Mar-94,11.39
Apr-94,10.51
May-94,7.73
Jun-94,9.20
Jul-94,10.53
Aug-94,9.06
Sep-94,6.65
Oct-94,7.80
Nov-94,12.49
Dec-94,18.39
Jan-95,14.74
Feb-95,13.23
Mar-95,9.91
Apr-95,10.38
May-95,6.73
Jun-95,6.75
Jul-95,9.16
Aug-95,9.21
Sep-95,6.19
Oct-95,7.85
Nov-95,16.64
Dec-95,23.84
Jan-96,16.05
Feb-96,13.31
Mar-96,12.11
Apr-96,11.42
May-96,8.77
Jun-96,7.45
Jul-96,10.19
Aug-96,9.76
Sep-96,7.70
Oct-96,7.86
Nov-96,15.27
Dec-96,18.33
Jan-97,18.61
Feb-97,13.53
Mar-97,11.47
Apr-97,12.94
May-97,8.53
Jun-97,7.61
Jul-97,11.28
Aug-97,9.68
Sep-97,8.12
Oct-97,8.67
Nov-97,14.79
Dec-97,20.15
Jan-98,16.56
Feb-98,13.53
Mar-98,13.53
Apr-98,11.58
May-98,8.03
Jun-98,9.46
Jul-98,10.75
Aug-98,10.28
Sep-98,8.04
Oct-98,12.27
Nov-98,14.02
Dec-98,17.52
Jan-99,16.00
Feb-99,11.99
Mar-99,6.96
Apr-99,10.02
May-99,6.14
Jun-99,7.15
Jul-99,9.72
Aug-99,7.85
Sep-99,5.73
Oct-99,7.27
Nov-99,10.13
Dec-99,17.54
Jan-00,15.04
Feb-00,11.21
Mar-00,8.70
Apr-00,9.92
May-00,6.65
Jun-00,6.73
Jul-00,8.12
Aug-00,8.31
Sep-00,6.87
Oct-00,5.45
Nov-00,11.29
Dec-00,18.21
